Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
600170,Shanghai Construction Group Co. Ltd. Class A,"0,0025%",Construction,CN,"71.330,29 USD",222.500
METROBRAND,Metro Brands Ltd.,"0,0025%",Apparel Retailers,IN,"71.271,80 USD",5.239
600801,Huaxin Cement Co. Ltd. Class A,"0,0025%",Cement,CN,"70.600,10 USD",34.600
600839,Sichuan Changhong Electric Co. Ltd. Class A,"0,0025%",Household Appliance,CN,"70.402,25 USD",104.000
000591,CECEP Solar Energy Co. Ltd. Class A,"0,0025%",Alternative Electricity,CN,"70.250,90 USD",98.000
600563,Xiamen Faratronic Co. Ltd. Class A,"0,0025%",Electronic Components,CN,"70.179,35 USD",6.000
300058,Bluefocus Intelligent Communications Group Co. Ltd. Class A,"0,0025%",Media Agencies,CN,"69.692,28 USD",84.000
600517,State Grid Yingda Co. Ltd. Class A,"0,0025%",Electrical Components,CN,"69.662,42 USD",105.700
600763,Topchoice Medical Corp. Class A,"0,0025%",Health Care Services,CN,"69.503,32 USD",8.497
600006,DongFeng Automobile Co. Ltd. Class A,"0,0025%",Automobiles,CN,"69.319,55 USD",72.700
688363,Bloomage Biotechnology Corp. Ltd. Class A,"0,0024%",Biotechnology,CN,"69.242,15 USD",8.582
603688,Jiangsu Pacific Quartz Co. Ltd. Class A,"0,0024%",Production Technology Equipment,CN,"68.973,23 USD",12.900
600008,Beijing Capital Eco-Environment Protection Group Co. Ltd. Class A,"0,0024%",Water,CN,"68.949,00 USD",171.030
000800,FAW Jiefang Group Co. Ltd. Class A,"0,0024%",Automobiles,CN,"68.931,40 USD",59.500
688153,Vanchip Tianjin Technology Co. Ltd. Class A,"0,0024%",Electronic Components,CN,"68.616,50 USD",11.004
002821,Asymchem Laboratories Tianjin Co. Ltd. Class A,"0,0024%",Pharmaceuticals,CN,"68.586,74 USD",6.500
300724,Shenzhen SC New Energy Technology Corp. Class A,"0,0024%",Semiconductors,CN,"68.429,61 USD",7.700
600511,China National Medicines Corp. Ltd. Class A,"0,0024%",Pharmaceuticals,CN,"68.299,86 USD",14.600
300024,Siasun Robot & Automation Co. Ltd. Class A,"0,0024%",Machinery: Industrial,CN,"68.298,76 USD",48.100
603160,Shenzhen Goodix Technology Co. Ltd. Class A,"0,0024%",Semiconductors,CN,"68.013,68 USD",8.000
002643,Valiant Co. Ltd. Class A,"0,0024%",Specialty Chemicals,CN,"67.890,53 USD",42.500
600732,Shanghai Aiko Solar Energy Co. Ltd. Class A,"0,0024%",Renewable Energy Equipment,CN,"67.771,79 USD",42.280
601801,Anhui Xinhua Media Co. Ltd. Class A,"0,0024%",Publishing,CN,"67.611,91 USD",67.500
200581,Weifu High-Technology Group Co. Ltd. Class B,"0,0024%",Auto Parts,CN,"67.509,70 USD",42.800
600535,Tasly Pharmaceutical Group Co. Ltd. Class A,"0,0024%",Pharmaceuticals,CN,"67.465,52 USD",35.200
000799,JiuGui Liquor Co. Ltd. Class A,"0,0024%",Distillers and Vintners,CN,"67.392,87 USD",9.200
300073,Beijing Easpring Material Technology Co. Ltd. Class A,"0,0024%",Specialty Chemicals,CN,"67.152,91 USD",12.300
603613,Beijing United Information Technology Co. Ltd. Class A,"0,0024%",Computer Services,CN,"67.115,99 USD",21.953
002032,Zhejiang Supor Co. Ltd. Class A,"0,0024%",Household Appliance,CN,"66.973,22 USD",9.172
BLA-F,Bangkok Life Assurance PCL,"0,0024%",Life Insurance,TH,"66.754,55 USD",119.800
002500,Shanxi Securities Co. Ltd. Class A,"0,0024%",Investment Services,CN,"66.674,11 USD",93.730
603156,Hebei Yangyuan Zhihui Beverage Co. Ltd. Class A,"0,0024%",Soft Drinks,CN,"66.467,71 USD",18.900
000537,China Green Electricity Investment of Tianjin Co. Ltd. Class A,"0,0023%",Alternative Electricity,CN,"66.334,94 USD",45.100
600820,Shanghai Tunnel Engineering Co. Ltd. Class A,"0,0023%",Construction,CN,"66.125,94 USD",71.200
SELEC.E,Selcuk Ecza Deposu Ticaret ve Sanayi A.S.,"0,0023%",Pharmaceuticals,TR,"66.055,37 USD",43.634
TRGYO.E,Torunlar Gayrimenkul Yatirim Ortakligi AS,"0,0023%",Retail REITs,TR,"65.898,85 USD",44.554
000050,Tianma Microelectronics Co. Ltd. Class A,"0,0023%",Electronic Components,CN,"65.821,45 USD",63.700
688349,Sany Renewable Energy Co. Ltd. Class A,"0,0023%",Renewable Energy Equipment,CN,"65.811,34 USD",17.150
002916,Shennan Circuits Co. Ltd. Class A,"0,0023%",Electronic Components,CN,"65.802,29 USD",5.318
601628,China Life Insurance Co. Ltd. Class A,"0,0023%",Life Insurance,CN,"65.564,57 USD",15.200
002831,Shenzhen YUTO Packaging Technology Co. Ltd. Class A,"0,0023%",Containers and Packaging,CN,"65.541,73 USD",19.100
KMPUR.E,Kimteks Poliuretan Sanayi VE Ticaret AS,"0,0023%",Plastics,TR,"65.425,67 USD",36.146
MSIN,MNC Digital Entertainment Tbk PT,"0,0023%",Entertainment,ID,"65.325,77 USD",373.783
688271,Shanghai United Imaging Healthcare Co. Ltd. Class A,"0,0023%",Medical Equipment,CN,"65.307,16 USD",3.714
600155,Polaris Bay Group Co. Ltd. Class A,"0,0023%",Investment Services,CN,"65.113,82 USD",69.800
688065,Cathay Biotech Inc.,"0,0023%",Chemicals: Diversified,CN,"65.016,63 USD",9.715
600126,Hangzhou Iron & Steel Co.,"0,0023%",Iron and Steel,CN,"65.015,17 USD",99.900
603596,Bethel Automotive Safety Systems Co. Ltd. Class A,"0,0023%",Auto Parts,CN,"64.949,43 USD",13.160
601990,Nanjing Securities Co. Ltd. Class A,"0,0023%",Investment Services,CN,"64.780,30 USD",59.000
600848,Shanghai Lingang Holdings Corp. Ltd. Class A,"0,0023%",Real Estate Holding and Development,CN,"64.429,45 USD",43.560
ASUZU.E,Anadolu Isuzu Otomotiv Sanayi Ve Ticaret AS,"0,0023%",Commercial Vehicles and Parts,TR,"64.094,20 USD",20.895
300568,Shenzhen Senior Technology Material Co. Ltd. Class A,"0,0023%",Specialty Chemicals,CN,"63.995,35 USD",48.500
600906,Caida Securities Co. Ltd. Class A,"0,0023%",Investment Services,CN,"63.887,62 USD",69.200
000997,Newland Digital Technology Co. Ltd. Class A,"0,0023%",Software,CN,"63.725,12 USD",29.900
300699,Weihai Guangwei Composites Co. Ltd. Class A,"0,0023%",Chemicals and Synthetic Fibers,CN,"63.655,91 USD",17.760
601162,Tianfeng Securities Co. Ltd. Class A,"0,0022%",Investment Services,CN,"63.561,80 USD",164.400
300373,Yangzhou Yangjie Electronic Technology Co. Ltd. Class A,"0,0022%",Semiconductors,CN,"63.378,12 USD",12.700
002430,Hangzhou Oxygen Plant Group Co. Ltd. Class A,"0,0022%",Machinery: Specialty,CN,"63.291,57 USD",18.400
