Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
8001,ITOCHU Corp.,"0,084%",Diversified Industrials,JP,"21.973.718,54 USD",466.000
PNC,PNC Financial Services Group Inc.,"0,0837%",Banks,US,"21.894.522,90 USD",139.110
INFY,Infosys Ltd.,"0,0836%",Computer Services,IN,"21.847.176,34 USD",1.296.191
BATS,British American Tobacco plc,"0,0834%",Tobacco,GB,"21.810.107,01 USD",709.323
SHOP,Shopify Inc. Class A,"0,0832%",Consumer Digital Services,CA,"21.767.341,98 USD",367.867
BBVA,Banco Bilbao Vizcaya Argentaria SA,"0,0831%",Banks,ES,"21.729.843,21 USD",2.013.726
CS,Axa SA,"0,0829%",Full Line Insurance,FR,"21.679.862,15 USD",604.248
ISP,Intesa Sanpaolo SPA (Registered),"0,0829%",Banks,IT,"21.675.480,99 USD",5.536.983
939,China Construction Bank Corp. Class H,"0,0829%",Banks,CN,"21.664.729,30 USD",30.594.000
MCO,Moody's Corp.,"0,0829%",Financial Data Providers,US,"21.663.744,30 USD",54.570
ABI,Anheuser-Busch InBev SA/NV,"0,0825%",Brewers,BE,"21.563.394,33 USD",344.726
INGA,ING Groep NV,"0,0815%",Banks,NL,"21.320.054,85 USD",1.200.132
MSI,Motorola Solutions Inc.,"0,0812%",Telecommunications Equipment,US,"21.221.705,96 USD",58.156
APO,Apollo Global Management LLC,"0,0807%",Asset Managers and Custodians,US,"21.098.721,60 USD",181.635
WBC,Westpac Banking Corp.,"0,0796%",Banks,AU,"20.803.020,74 USD",1.204.018
DG,Vinci SA,"0,0794%",Construction,FR,"20.773.339,37 USD",167.194
APD,Air Products & Chemicals Inc.,"0,0793%",Specialty Chemicals,US,"20.743.392,60 USD",77.778
ABNB,Airbnb Inc. Class A,"0,0791%",Travel and Tourism,US,"20.687.163,27 USD",142.739
MRVL,Marvell Technology Inc.,"0,0783%",Semiconductors,US,"20.479.369,82 USD",297.622
FDX,FedEx Corp.,"0,0782%",Delivery Services,US,"20.458.509,68 USD",80.558
CTAS,Cintas Corp.,"0,0771%",Industrial Suppliers,US,"20.161.471,86 USD",29.738
ECL,Ecolab Inc.,"0,076%",Chemicals: Diversified,US,"19.859.369,40 USD",85.527
CSU,Constellation Software Inc./Canada,"0,0756%",Software,CA,"19.765.348,27 USD",7.107
BNS,Bank of Nova Scotia,"0,0755%",Banks,CA,"19.739.669,53 USD",417.051
WELL,Welltower Inc.,"0,0755%",Health Care REITs,US,"19.730.059,72 USD",190.316
ORLY,O'Reilly Automotive Inc.,"0,0751%",Specialty Retailers,US,"19.638.944,88 USD",20.388
MMM,3M Co.,"0,0749%",Diversified Industrials,US,"19.590.888,90 USD",195.635
ROP,Roper Technologies Inc.,"0,0748%",Software,US,"19.564.012,72 USD",36.722
AON,Aon plc Class A,"0,0747%",Insurance Brokers,IE,"19.531.452,36 USD",69.349
2454,MediaTek Inc.,"0,0746%",Semiconductors,TW,"19.511.810,52 USD",511.794
9984,SoftBank Group Corp.,"0,0745%",Telecommunications Services,JP,"19.482.778,33 USD",338.600
7974,Nintendo Co. Ltd.,"0,0743%",Electronic Entertainment,JP,"19.424.251,49 USD",356.800
LSEG,London Stock Exchange Group plc,"0,0741%",Financial Data Providers,GB,"19.384.760,27 USD",166.178
AIG,American International Group Inc.,"0,0741%",Full Line Insurance,US,"19.366.231,64 USD",245.702
AJG,Arthur J Gallagher & Co.,"0,0738%",Insurance Brokers,US,"19.300.452,71 USD",76.187
ANZ,ANZ Group Holdings Ltd.,"0,0737%",Banks,AU,"19.273.829,86 USD",1.025.877
ENEL,Enel SPA,"0,0734%",Conventional Electricity,IT,"19.195.084,21 USD",2.656.482
MAR,Marriott International Inc./MD Class A,"0,0731%",Hotels and Motels,US,"19.118.221,34 USD",82.702
BA.,BAE Systems plc,"0,073%",Defense,GB,"19.091.562,43 USD",1.077.223
PRX,Prosus NV,"0,0729%",Consumer Digital Services,NL,"19.053.514,43 USD",525.798
PCAR,PACCAR Inc.,"0,0722%",Commercial Vehicles and Parts,US,"18.884.310,00 USD",175.668
SU,Suncor Energy Inc.,"0,0716%",Integrated Oil and Gas,CA,"18.724.451,75 USD",459.069
CRH,CRH plc,"0,0714%",Cement,IE,"18.671.748,83 USD",239.706
VLO,Valero Energy Corp.,"0,0713%",Oil Refining and Marketing,US,"18.650.946,60 USD",118.690
COF,Capital One Financial Corp.,"0,0707%",Transaction Processing Services,US,"18.492.104,43 USD",134.361
7267,Honda Motor Co. Ltd.,"0,0706%",Automobiles,JP,"18.465.091,99 USD",1.639.840
IFX,Infineon Technologies AG,"0,0706%",Semiconductors,DE,"18.447.328,10 USD",461.446
CARR,Carrier Global Corp.,"0,0703%",Building: Climate Control,US,"18.382.476,52 USD",290.908
GM,General Motors Co.,"0,0699%",Automobiles,US,"18.270.304,03 USD",406.097
AFL,Aflac Inc.,"0,0698%",Life Insurance,US,"18.251.338,82 USD",203.086
EW,Edwards Lifesciences Corp.,"0,0697%",Medical Supplies,US,"18.234.214,06 USD",209.854
8411,Mizuho Financial Group Inc.,"0,0694%",Banks,JP,"18.149.911,74 USD",887.420
MCHP,Microchip Technology Inc.,"0,0694%",Semiconductors,US,"18.133.103,31 USD",186.497
WMB,Williams Cos. Inc.,"0,0689%",Pipelines,US,"18.024.721,26 USD",434.226
NSC,Norfolk Southern Corp.,"0,0676%",Railroads,US,"17.678.047,20 USD",78.639
HLT,Hilton Worldwide Holdings Inc.,"0,0675%",Hotels and Motels,US,"17.652.198,20 USD",87.997
TRV,Travelers Cos. Inc.,"0,0666%",Property and Casualty Insurance,US,"17.417.343,60 USD",80.748
TFC,Truist Financial Corp.,"0,0666%",Banks,US,"17.413.886,25 USD",461.295
ITX,Industria de Diseno Textil SA,"0,0666%",Apparel Retailers,ES,"17.406.841,71 USD",368.097
WES,Wesfarmers Ltd.,"0,0662%",Diversified Retailers,AU,"17.315.549,24 USD",401.240
JCI,Johnson Controls International plc,"0,0653%",Electronic Equipment: Control and Filter,IE,"17.087.038,47 USD",237.617
OKE,ONEOK Inc.,"0,0653%",Pipelines,US,"17.072.613,00 USD",210.773
RR.,Rolls-Royce Holdings plc,"0,0652%",Aerospace,GB,"17.059.726,61 USD",2.955.248
D05,DBS Group Holdings Ltd.,"0,0652%",Banks,SG,"17.040.467,56 USD",640.000
AEP,American Electric Power Co. Inc.,"0,0651%",Conventional Electricity,US,"17.010.590,75 USD",188.483
TEL,TE Connectivity Ltd.,"0,065%",Electronic Components,CH,"16.990.650,60 USD",113.498
SPG,Simon Property Group Inc.,"0,0648%",Retail REITs,US,"16.953.680,26 USD",112.046
AZO,AutoZone Inc.,"0,0647%",Specialty Retailers,US,"16.918.793,52 USD",6.108
GEV,GE Vernova LLC,"0,0645%",Diversified Industrials,US,"16.863.357,10 USD",95.869
CPG,Compass Group plc,"0,0643%",Vending and Catering Service,GB,"16.820.283,69 USD",602.693
RACE,Ferrari NV,"0,0636%",Automobiles,NL,"16.626.256,32 USD",40.581
MRNA,Moderna Inc.,"0,0631%",Biotechnology,US,"16.506.862,35 USD",115.797
SRE,Sempra,"0,0628%",Multi-Utilities,US,"16.425.260,96 USD",213.232
MFC,Manulife Financial Corp.,"0,0626%",Life Insurance,CA,"16.357.544,95 USD",629.881
F,Ford Motor Co.,"0,0622%",Automobiles,US,"16.265.529,42 USD",1.340.934
TCS,Tata Consultancy Services Ltd.,"0,0622%",Computer Services,IN,"16.252.517,21 USD",369.555
DXCM,Dexcom Inc.,"0,062%",Medical Equipment,US,"16.213.292,70 USD",136.510
SIKA,Sika AG,"0,0619%",Building Materials: Other,CH,"16.196.735,24 USD",53.543
HOLN,Holcim AG,"0,0618%",Cement,CH,"16.165.989,58 USD",185.125
MQG,Macquarie Group Ltd.,"0,0616%",Investment Services,AU,"16.103.003,67 USD",126.804
VALE3,Vale SA,"0,0612%",Iron and Steel,BR,"15.992.377,10 USD",1.329.961
ROST,Ross Stores Inc.,"0,0611%",Apparel Retailers,US,"15.983.931,92 USD",114.367
KMB,Kimberly-Clark Corp.,"0,061%",Personal Products,US,"15.961.208,70 USD",119.739
BAS,Basf Se,"0,0609%",Chemicals: Diversified,DE,"15.924.093,12 USD",303.005
CPRT,Copart Inc.,"0,0607%",Consumer Services: Misc.,US,"15.873.535,72 USD",299.162
URI,United Rentals Inc.,"0,0605%",Commercial Vehicle-Equipment Leasing,US,"15.829.538,27 USD",23.647
BK,Bank of New York Mellon Corp.,"0,0601%",Investment Services,US,"15.711.646,14 USD",263.574
CCI,Crown Castle Inc.,"0,0599%",Infrastructure REITs,US,"15.670.507,50 USD",152.883
O,Realty Income Corp.,"0,0599%",Retail REITs,US,"15.652.646,94 USD",294.999
MET,MetLife Inc.,"0,0599%",Life Insurance,US,"15.650.519,09 USD",216.257
DLR,Digital Realty Trust Inc.,"0,0597%",Other Specialty REITs,US,"15.601.812,98 USD",107.347
CM,Canadian Imperial Bank of Commerce,"0,0596%",Banks,CA,"15.573.616,78 USD",314.134
ATCO A,Atlas Copco AB Class A,"0,0595%",Machinery: Construction and Handling,SE,"15.559.422,51 USD",814.948
ALL,Allstate Corp.,"0,0595%",Property and Casualty Insurance,US,"15.547.531,20 USD",92.810
ALC,Alcon Inc.,"0,0591%",Medical Supplies,CH,"15.443.375,76 USD",173.416
