Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
AFL,Aflac Inc.,"0,1096%",Life Insurance,US,"3.882.384,00 USD",43.200
GM,General Motors Co.,"0,1091%",Automobiles,US,"3.864.236,09 USD",85.891
MCHP,Microchip Technology Inc.,"0,1086%",Semiconductors,US,"3.849.141,24 USD",39.588
NSC,Norfolk Southern Corp.,"0,1074%",Railroads,US,"3.803.616,00 USD",16.920
WMB,Williams Cos. Inc.,"0,1065%",Pipelines,US,"3.775.002,42 USD",90.942
TFC,Truist Financial Corp.,"0,1058%",Banks,US,"3.748.273,00 USD",99.292
HLT,Hilton Worldwide Holdings Inc.,"0,1054%",Hotels and Motels,US,"3.734.570,20 USD",18.617
SPG,Simon Property Group Inc.,"0,1034%",Retail REITs,US,"3.665.030,82 USD",24.222
TRV,Travelers Cos. Inc.,"0,1034%",Property and Casualty Insurance,US,"3.664.958,70 USD",16.991
JCI,Johnson Controls International plc,"0,1033%",Electronic Equipment: Control and Filter,IE,"3.659.499,90 USD",50.890
SRE,Sempra,"0,102%",Multi-Utilities,US,"3.612.707,00 USD",46.900
NEM,Newmont Corp.,"0,1019%",Gold Mining,US,"3.609.691,92 USD",86.068
AZO,AutoZone Inc.,"0,101%",Specialty Retailers,US,"3.578.762,48 USD",1.292
GEV,GE Vernova LLC,"0,1005%",Diversified Industrials,US,"3.560.216,00 USD",20.240
F,Ford Motor Co.,"0,1002%",Automobiles,US,"3.551.773,17 USD",292.809
AEP,American Electric Power Co. Inc.,"0,10%",Conventional Electricity,US,"3.544.388,25 USD",39.273
MFC,Manulife Financial Corp.,"0,0996%",Life Insurance,CA,"3.529.716,17 USD",135.919
MRNA,Moderna Inc.,"0,0996%",Biotechnology,US,"3.528.540,15 USD",24.753
OKE,ONEOK Inc.,"0,0992%",Pipelines,US,"3.516.453,00 USD",43.413
ROST,Ross Stores Inc.,"0,0976%",Apparel Retailers,US,"3.458.361,20 USD",24.745
TEL,TE Connectivity Ltd.,"0,0975%",Electronic Components,CH,"3.455.525,10 USD",23.083
DXCM,Dexcom Inc.,"0,0966%",Medical Equipment,US,"3.421.407,39 USD",28.807
CPRT,Copart Inc.,"0,0963%",Consumer Services: Misc.,US,"3.412.023,30 USD",64.305
DLR,Digital Realty Trust Inc.,"0,096%",Other Specialty REITs,US,"3.401.392,02 USD",23.403
URI,United Rentals Inc.,"0,0957%",Commercial Vehicle-Equipment Leasing,US,"3.391.900,47 USD",5.067
BK,Bank of New York Mellon Corp.,"0,0955%",Investment Services,US,"3.383.463,60 USD",56.760
MET,MetLife Inc.,"0,0949%",Life Insurance,US,"3.361.224,65 USD",46.445
CM,Canadian Imperial Bank of Commerce,"0,0948%",Banks,CA,"3.357.756,53 USD",67.729
