Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
035420,NAVER Corp.,"0,5973%",Consumer Digital Services,KR,"8.721.128,89 USD",70.945
055550,Shinhan Financial Group Co. Ltd.,"0,5675%",Banks,KR,"8.286.692,10 USD",243.337
STO,Santos Ltd.,"0,5591%",Oil: Crude Producers,AU,"8.164.137,20 USD",1.608.909
669,Techtronic Industries Co. Ltd.,"0,542%",Machinery: Tools,HK,"7.914.499,54 USD",647.000
AMC,Amcor plc,"0,4853%",Containers and Packaging,JE,"7.085.900,98 USD",717.971
COL,Coles Group Ltd.,"0,4821%",Food Retailers and Wholesalers,AU,"7.039.688,40 USD",644.653
006400,Samsung SDI Co. Ltd.,"0,4805%",Electrical Components,KR,"7.015.569,32 USD",25.937
Z74,Singapore Telecommunications Ltd.,"0,4679%",Telecommunications Services,SG,"6.831.788,12 USD",3.723.600
COH,Cochlear Ltd.,"0,4666%",Medical Equipment,AU,"6.813.322,62 USD",31.761
16,Sun Hung Kai Properties Ltd.,"0,4601%",Real Estate Holding and Development,HK,"6.718.272,86 USD",698.000
SUN,Suncorp Group Ltd.,"0,4599%",Full Line Insurance,AU,"6.715.080,33 USD",634.639
JHX,James Hardie Industries plc,"0,4589%",Building Materials: Other,IE,"6.700.353,92 USD",215.323
XRO,Xero Ltd.,"0,4551%",Software,NZ,"6.645.824,36 USD",74.022
BXB,Brambles Ltd.,"0,4471%",Containers and Packaging,AU,"6.528.037,25 USD",689.316
2,CLP Holdings Ltd.,"0,4426%",Conventional Electricity,HK,"6.463.008,17 USD",817.500
1,CK Hutchison Holdings Ltd.,"0,437%",Diversified Industrials,KY,"6.381.462,06 USD",1.310.352
S32,South32 Ltd.,"0,4087%",General Mining,AU,"5.967.370,54 USD",2.260.155
051910,LG Chem Ltd.,"0,4049%",Electrical Components,KR,"5.911.689,00 USD",23.286
086790,Hana Financial Group Inc.,"0,3957%",Banks,KR,"5.778.289,34 USD",129.665
ORG,Origin Energy Ltd.,"0,3952%",Multi-Utilities,AU,"5.770.129,62 USD",851.446
2388,BOC Hong Kong Holdings Ltd.,"0,3813%",Banks,HK,"5.568.075,06 USD",1.778.000
992,Lenovo Group Ltd.,"0,3728%",Computer Hardware,HK,"5.444.102,59 USD",3.796.000
SCG,Scentre Group,"0,3686%",Retail REITs,AU,"5.382.606,87 USD",2.569.377
NST,Northern Star Resources Ltd.,"0,3638%",Gold Mining,AU,"5.312.599,96 USD",556.674
823,Link REIT,"0,3627%",Retail REITs,HK,"5.296.482,96 USD",1.263.300
CPU,Computershare Ltd.,"0,3573%",Diversified Financial Services,AU,"5.216.777,59 USD",295.561
27,Galaxy Entertainment Group Ltd.,"0,3532%",Casinos and Gambling,HK,"5.157.637,07 USD",1.076.000
